uniprot_id,gene_name,protein_name,length,alphafold_id
Q5BJI7,smyd2a,N-lysine methyltransferase SMYD2-A (EC 2.1.1.-) (Histone methyltransferase SMYD2-A) (EC 2.1.1.354) (SET and MYND domain-containing protein 2A),435,Q5BJI7
Q5BKW7,enpp6,Glycerophosphocholine cholinephosphodiesterase ENPP6 (GPC-Cpde) (EC 3.1.4.-) (EC 3.1.4.38) (Choline-specific glycerophosphodiester phosphodiesterase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 6) (E-NPP 6) (NPP-6),438,Q5BKW7
Q5BL29,slc39a9,Zinc transporter ZIP9 (Solute carrier family 39 member 9) (Zrt- and Irt-like protein 9) (ZIP-9),309,Q5BL29
Q5BLG4,zdhhc2,Palmitoyltransferase ZDHHC2 (EC 2.3.1.225) (Acyltransferase ZDHHC2) (EC 2.3.1.-) (DHHC domain-containing protein 2) (Zinc finger DHHC domain-containing protein 2),361,Q5BLG4
Q5CZP2,hsf4,Heat shock factor protein 4,441,Q5CZP2
Q5CZR5,aep1,Aerolysin-like protein (Jacalin-type lectin domain-containing protein 5),315,Q5CZR5
Q5EGE1,ism1,Isthmin-1,461,Q5EGE1
Q5G872,scube2,"Signal peptide, CUB and EGF-like domain-containing protein 2 (Protein You)",1010,Q5G872
Q5GIT4,kdr,Vascular endothelial growth factor receptor 2 (VEGFR-2) (EC 2.7.10.1) (Fetal liver kinase 1b) (FLK-1b) (Kinase insert domain receptor) (Kinase insert domain receptor-B) (Protein-tyrosine kinase receptor flk-1b) (Vascular endothelial growth factor receptor 2 homolog B) (VEGFR-2 homolog B),1357,Q5GIT4
Q5M7Y0,cert1,Ceramide transfer protein (CERT) (Collagen type IV alpha-3-binding protein) (Goodpasture antigen-binding protein) (GPBP),620,Q5M7Y0
Q5M9P8,arl6,ADP-ribosylation factor-like protein 6,186,Q5M9P8
Q5MD89,flt4,Vascular endothelial growth factor receptor 3 (VEGFR-3) (EC 2.7.10.1),1357,Q5MD89
Q5PQZ7,popdc1,Popeye domain-containing protein 1 (Popeye protein 1) (Blood vessel epicardial substance) (BVES) (hBVES),352,Q5PQZ7
Q5PR66,ift56,Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26),557,Q5PR66
Q5PYH6,dlg1,Disks large homolog 1 (Synapse-associated protein 97A) (SAP-97A) (SAP97A),873,Q5PYH6
Q5PZ43,xirp1,Xin actin-binding repeat-containing protein 1 (Cardiomyopathy-associated protein 1),2297,Q5PZ43
Q5QNP2,taar13c,Trace amine-associated receptor 13c,341,Q5QNP2
Q5R328,rspo3,R-spondin-3 (Cabriolet) (Roof plate-specific spondin-3),317,Q5R328
Q5RGJ8,gnptab,N-acetylglucosamine-1-phosphotransferase subunits alpha/beta (EC 2.7.8.17) (GlcNAc-1-phosphotransferase subunits alpha/beta) (Stealth protein gnptab) (UDP-N-acetylglucosamine-1-phosphotransferase subunits alpha/beta) [Cleaved into: N-acetylglucosamine-1-phosphotransferase subunit alpha; N-acetylglucosamine-1-phosphotransferase subunit beta],1219,Q5RGJ8
Q5RGL7,smyd2b,N-lysine methyltransferase SMYD2-B (EC 2.1.1.-) (Histone methyltransferase SMYD2-B) (EC 2.1.1.354) (SET and MYND domain-containing protein 2B),434,Q5RGL7
Q5RGQ2,prmt8b,Protein arginine N-methyltransferase 8-B (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 4) (zfL3),419,Q5RGQ2
Q5RGU1,coq8a,"Atypical kinase COQ8A, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)",619,Q5RGU1
Q5RH73,smo,Protein smoothened,822,Q5RH73
Q5RHB5,irag2,"Inositol 1,4,5-triphosphate receptor associated 2 (Lymphoid-restricted membrane protein)",1447,Q5RHB5
Q5RHD1,kdm7a,Lysine-specific demethylase 7A (DrKDM7a) (EC 1.14.11.-) (JmjC domain-containing histone demethylation protein 1D-A),875,Q5RHD1
Q5RHR0,parp1,Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-),1013,Q5RHR0
Q5RIC0,elp3,Elongator complex protein 3 (EC 2.3.1.311) (tRNA uridine(34) acetyltransferase),548,Q5RIC0
Q5RIX9,e2f7,Transcription factor E2F7 (E2F-7),723,Q5RIX9
Q5RJ80,caprin2,Caprin-2 (RNA granule protein 140),914,Q5RJ80
Q5SPB1,slc38a2,Sodium-coupled neutral amino acid symporter 2 (Amino acid transporter A2) (Solute carrier family 38 member 2) (System A amino acid transporter 2) (System A transporter 1) (System N amino acid transporter 2),504,Q5SPB1
Q5SPC5,otofa,Otoferlin (Fer-1-like protein 2),1992,Q5SPC5
Q5TYW4,nbas,NBAS subunit of NRZ tethering complex (Neuroblastoma-amplified gene protein homolog) (Neuroblastoma-amplified sequence),2372,Q5TYW4
Q5TYW6,rsph9,Radial spoke head protein 9 homolog,277,Q5TYW6
Q5TZ07,plpp6,Polyisoprenoid diphosphate/phosphate phosphohydrolase PLPP6 (EC 3.1.3.-) (EC 3.6.1.-) (EC 3.6.1.68) (Phosphatidic acid phosphatase type 2 domain-containing protein 2) (Phospholipid phosphatase 6),288,Q5TZ07
Q5TZ18,nav3,Neuron navigator 3,2269,Q5TZ18
Q5TZ51,mpv17,Mitochondrial inner membrane protein Mpv17 (Protein Mpv17),177,Q5TZ51
Q5U3A7,opa1,"Dynamin-like GTPase OPA1, mitochondrial (EC 3.6.5.5) (Optic atrophy protein 1 homolog) [Cleaved into: Dynamin-like GTPase OPA1, long form (L-OPA1); Dynamin-like GTPase OPA1, short form (S-OPA1)]",966,Q5U3A7
Q5U3H2,kmt5b,Histone-lysine N-methyltransferase KMT5B (Lysine-specific methyltransferase 5B) (Suppressor of variegation 4-20 homolog 1) (Su(var)4-20 homolog 1) (Suv4-20h1) ([histone H4]-N-methyl-L-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.362) ([histone H4]-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.361),808,Q5U3H2
Q5U3U3,cpt2,"Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)",669,Q5U3U3
Q5U3U7,mfsd2aa,Sodium-dependent lysophosphatidylcholine symporter 1-A (NLS1-A) (Sodium-dependent LPC symporter 1-A) (Major facilitator superfamily domain-containing protein 2A-A),532,Q5U3U7
Q5U3W1,pomk,Protein O-mannose kinase (POMK) (EC 2.7.1.183) (Protein kinase-like protein SgK196) (Sugen kinase 196),347,Q5U3W1
Q5VSE6,kcnk13b,"Potassium channel, subfamily K, member 13 (K2P13.1b) (Tandem pore domain halothane-inhibited potassium channel)",412,Q5VSE6
Q5W7F1,asah2,Neutral ceramidase (N-CDase) (NCDase) (EC 3.5.1.23) (Acylsphingosine deacylase 2) (N-acylsphingosine amidohydrolase 2) (znCD),743,Q5W7F1
Q5W8I7,slc17a6a,Vesicular glutamate transporter 2.2 (Solute carrier family 17 member 6-A) (Vesicular glutamate transporter 2-B),587,Q5W8I7
Q5W8I8,slc17a6b,Vesicular glutamate transporter 2.1 (Protein blumenkohl) (Solute carrier family 17 member 6-B) (Vesicular glutamate transporter 2-A),584,Q5W8I8
Q5XJ10,gapdh,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-),333,Q5XJ10
Q5XJ36,park7,"Parkinson disease protein 7 homolog (Maillard deglycase) (Parkinsonism-associated deglycase) (Protein DJ-1zDJ-1) (zDJ-1) (Protein/nucleic acid deglycase DJ-1) (EC 3.1.2.-, EC 3.5.1.-, EC 3.5.1.124)",189,Q5XJ36
Q5XJ85,myd88,Myeloid differentiation primary response protein MyD88,284,Q5XJ85
Q5XJA0,tdp2,Tyrosyl-DNA phosphodiesterase 2 (Tyr-DNA phosphodiesterase 2) (EC 3.1.4.-) (5'-tyrosyl-DNA phosphodiesterase) (5'-Tyr-DNA phosphodiesterase) (TRAF and TNF receptor-associated protein homolog),369,Q5XJA0
Q5XJA3,prrc1,Protein PRRC1 (Proline-rich and coiled-coil-containing protein 1) (Protein misty somites),435,Q5XJA3
Q5XJN2,ifi30a,Gamma-interferon-inducible lysosomal thiol reductase (zGILT) (EC 1.8.4.-) (Gamma-interferon-inducible protein IP-30),255,Q5XJN2
Q5XJQ7,osr1,Protein odd-skipped-related 1 (zOsr1),264,Q5XJQ7
Q642M9,dhdh,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase (EC 1.3.1.20) (D-arabinose 1-dehydrogenase) (EC 1.1.1.-) (D-galactose 1-dehydrogenase) (EC 1.1.1.120) (D-glucose 1-dehydrogenase) (EC 1.1.1.119) (D-ribose 1-dehydrogenase) (EC 1.1.1.115) (D-xylose 1-dehydrogenase) (D-xylose-NADP dehydrogenase) (EC 1.1.1.179) (Dimeric dihydrodiol dehydrogenase)",334,Q642M9
Q66HT8,adprs,ADP-ribosylhydrolase ARH3 (ADP-ribose glycohydrolase ARH3) (ADP-ribosylhydrolase 3) (O-acetyl-ADP-ribose deacetylase ARH3) (EC 3.5.1.-) (Poly(ADP-ribose) glycohydrolase ARH3) (EC 3.2.1.143) ([Protein ADP-ribosylarginine] hydrolase-like protein 2) ([Protein ADP-ribosylserine] hydrolase) (EC 3.2.2.-),370,Q66HT8
Q66I08,slc51a,Organic solute transporter subunit alpha (OST-alpha) (Solute carrier family 51 subunit alpha),326,Q66I08
Q66I42,msna,Moesin a (Membrane-organizing extension spike protein) (Moesin 1),579,Q66I42
Q66IA6,lypd6,Ly6/PLAUR domain-containing protein 6,174,Q66IA6
Q66L49,slc25a24,Mitochondrial adenyl nucleotide antiporter SLC25A24 (Small calcium-binding mitochondrial carrier protein 1) (SCaMC-1) (Solute carrier family 25 member 24),477,Q66L49
Q66PG2,large1,"Xylosyl- and glucuronyltransferase LARGE1 (EC 2.4.-.-) (Acetylglucosaminyltransferase-like 1A) (Glycosyltransferase-like protein) (LARGE xylosyl- and glucuronyltransferase 1) [Includes: Alpha-1,3-xylosyltransferase LARGE1 (EC 2.4.2.-); Beta-1,3-glucuronyltransferase LARGE1 (EC 2.4.1.-)]",757,Q66PG2
Q673G8,dact2,Dapper homolog 2 (Frodo 2),837,Q673G8
Q68EH9,crbn,Protein cereblon (zcrbn),431,Q68EH9
Q68EI3,agbl5,Cytosolic carboxypeptidase-like protein 5 (EC 3.4.17.-) (EC 3.4.17.24) (ATP/GTP-binding protein-like 5) (Protein deglutamylase CCP5),885,Q68EI3
Q68SP4,cdh5,Cadherin-5 (Vascular endothelial cadherin) (VE-cadherin),767,Q68SP4
Q68Y21,grid2,"Glutamate receptor ionotropic, delta-2 (GluD2) (GluR delta-2 subunit)",1009,Q68Y21
Q6B3P0,cdhr1a,Cadherin-related family member 1a (Photoreceptor cadherin) (prCAD) (Protocadherin-21),857,Q6B3P0
Q6DBR6,stac3,SH3 and cysteine-rich domain-containing protein 3,334,Q6DBR6
Q6DBU5,gmppb,Mannose-1-phosphate guanylyltransferase catalytic subunit beta (EC 2.7.7.13) (GDP-mannose pyrophosphorylase B) (GTP-mannose-1-phosphate guanylyltransferase beta),360,Q6DBU5
Q6DBX4,mastl,Serine/threonine-protein kinase greatwall (GW) (GWL) (EC 2.7.11.1) (Microtubule-associated serine/threonine-protein kinase-like) (MAST-L),860,Q6DBX4
Q6DBY2,naa50,N-alpha-acetyltransferase 50 (EC 2.3.1.258) (N-acetyltransferase NAT13) (N-epsilon-acetyltransferase 50) (EC 2.3.1.-) (NatE catalytic subunit),168,Q6DBY2
Q6DC64,mettl16,RNA N(6)-adenosine-methyltransferase mettl16 (EC 2.1.1.348) (Methyltransferase 10 domain-containing protein) (Methyltransferase-like protein 16) (U6 small nuclear RNA (adenine-(43)-N(6))-methyltransferase) (EC 2.1.1.346),471,Q6DC64
Q6DEH3,camk2d1,Calcium/calmodulin-dependent protein kinase type II delta 1 chain (EC 2.7.11.17) (Calcium/calmodulin-dependent protein kinase type II delta-B chain) (CaM kinase II subunit delta-B) (CaM-kinase II delta-B chain) (CaMK-II subunit delta-B),491,Q6DEH3
Q6DEJ6,mfsd2ab,Sodium-dependent lysophosphatidylcholine symporter 1-B (NLS1-B) (Sodium-dependent LPC symporter 1-B) (Major facilitator superfamily domain-containing protein 2A-B),523,Q6DEJ6
Q6DG36,slc30a5,Proton-coupled zinc antiporter SLC30A5 (Solute carrier family 30 member 5) (Zinc transporter 5) (ZnT-5),775,Q6DG36
Q6DG38,gpat3,Glycerol-3-phosphate acyltransferase 3 (GPAT-3) (EC 2.3.1.15) (1-acyl-sn-glycerol-3-phosphate O-acyltransferase 10) (AGPAT 10) (1-acyl-sn-glycerol-3-phosphate O-acyltransferase 9) (1-AGP acyltransferase 9) (1-AGPAT 9) (EC 2.3.1.51) (Lysophosphatidic acid acyltransferase theta) (LPAAT-theta),449,Q6DG38
Q6DG85,uox,Uricase (EC 1.7.3.3) (Urate oxidase),298,Q6DG85
Q6DGB6,dnaaf19,Dynein axonemal assembly factor 19 (Coiled-coil domain-containing protein 103) (Protein schmalhans),247,Q6DGB6
Q6DGD3,suv39h1a,Histone-lysine N-methyltransferase SUV39H1-A (EC 2.1.1.-) (Suppressor of variegation 3-9 homolog 1-A) (Su(var)3-9 homolog 1-A),411,Q6DGD3
Q6DGE9,unc45b,Protein unc-45 homolog B (Unc-45B) (UNC45-related protein),934,Q6DGE9
Q6DGH9,otpb,Homeobox protein orthopedia B,315,Q6DGH9
Q6DGS3,camk2d2,Calcium/calmodulin-dependent protein kinase type II delta 2 chain (EC 2.7.11.17) (Calcium/calmodulin-dependent protein kinase type II delta-A chain) (CaM kinase II subunit delta-A) (CaM-kinase II delta-A chain) (CaMK-II subunit delta-A),554,Q6DGS3
Q6DH13,rbpms2a,"RNA-binding protein, mRNA-processing factor 2a (rbpms2a) (Heart and RRM expressed sequence) (hermes) (Protein hermes A)",199,Q6DH13
Q6DHC1,rab18b,Ras-related protein Rab-18-B (EC 3.6.5.2),205,Q6DHC1
Q6DHF9,six1a,Homeobox protein six1a (Homeobox protein six1b) (Sine oculis homeobox homolog 1a) (Sine oculis homeobox homolog 1b),283,Q6DHF9
Q6DHI1,zdhhc7,Palmitoyltransferase ZDHHC7 (EC 2.3.1.225) (Acyltransferase ZDHHC7) (EC 2.3.1.-) (Zinc finger DHHC domain-containing protein 7),299,Q6DHI1
Q6DHI5,sirt5,"NAD-dependent protein deacylase sirtuin-5, mitochondrial (EC 2.3.1.-) (Regulatory protein SIR2 homolog 5)",305,Q6DHI5
Q6DHM9,rhoab,Rho-related GTP-binding protein RhoA-B (EC 3.6.5.2),193,Q6DHM9
Q6DHR8,nus1,"Dehydrodolichyl diphosphate synthase complex subunit nus1 (EC 2.5.1.87) (Di-trans,poly-cis-decaprenylcistransferase) (Nogo-B receptor) (NgBR) (Nuclear undecaprenyl pyrophosphate synthase 1 homolog)",274,Q6DHR8
Q6DI48,dla,Delta-like protein A (DeltaA),772,Q6DI48
Q6DRB1,gle1,mRNA export factor GLE1 (GLE1 RNA export mediator) (GLE1-like protein) (Nucleoporin GLE1),695,Q6DRB1
Q6DRC0,sars1,"Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS)",515,Q6DRC0
Q6DRC3,cfap298,Cilia- and flagella-associated protein 298 (Protein kurly),290,Q6DRC3
Q6DRG7,ppp1r12a,Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1) (Protein phosphatase myosin-binding subunit),,
